gene	crak_gene	clade	subclade
MM.2017braw_172638745	CK_Syn_M16.1_00315	II	IIa
MM.2017braw_26692176	CK_Syn_TAK9802_01392	II	IIa
MM.2017braw_66479687	CK_Syn_PROS-9-1_00120	I	Ib
MM.2017braw_72653270	CK_Syn_CC9616_01460	EnvC	EnvC
MM.2017braw_72991630	CK_Syn_PROS-U-1_00762	II	IIh
MM.2017braw_8430895	CK_Syn_BL107_05464	IV	IVa
MM.2017braw_8981795	CK_Syn_BL107_08284	IV	IVa
MM.2017braw_91127439	CK_Syn_PROS-9-1_00270	I	Ib
MM.2017braw_94189743	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_106262444	CK_Syn_RCC307_01362	5.3	5.3
MM.2017braw_111617171	CK_Syn_WH8016_02008	I	Ib
MM.2017braw_12750112	CK_Syn_KORDI-49_13390	WPC1	WPC1
MM.2017braw_147376903	CK_Syn_WH8109_01378	II	IIa
MM.2017braw_156624917	CK_Syn_KORDI-100_29890	UC-A	UC-A
MM.2017braw_188738078	CK_Syn_BOUM118_01986	III	IIIa
MM.2017braw_195530487	CK_Syn_RCC307_01633	5.3	5.3
MM.2017braw_26554567	CK_Syn_A15-44_01310	II	IIa
MM.2017braw_50857662	CK_Syn_RS9902_02517	II	IIa
MM.2017braw_54029396	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_63079949	MO_Syn_HBP1109_02353		
MM.2017braw_65431257	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_83282072	CK_Syn_TAK9802_01043	II	IIa
MM.2017braw_118379800	CK_Syn_CC9311_00939	I	Ia
MM.2017braw_125159186	CK_Syn_A18-46.1_01541	III	IIIa
MM.2017braw_149814306	CK_Syn_KORDI-100_13740	UC-A	UC-A
MM.2017braw_180069065	CK_Syn_M16.1_01353	II	IIa
MM.2017braw_22743827	CK_Syn_BL107_06034	IV	IVa
MM.2017braw_30990147	CK_Syn_A15-62_00360	II	IIc
MM.2017braw_52652735	CK_Syn_KORDI-52_10940	II	IIa
MM.2017braw_59267175	CK_Syn_KORDI-49_03390	WPC1	WPC1
MM.2017braw_75726003	CK_Syn_SYN20_01147	I	Ib
MM.2017braw_84105161	CK_Syn_TAK9802_01392	II	IIa
MM.2017braw_93195517	CK_Syn_ROS8604_03657	I	Ib
MM.2017braw_112899167	CK_Syn_CC9311_00634	I	Ia
MM.2017braw_139246010	CK_Syn_RS9907_00310	II	IIa
MM.2017braw_144754872	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_152379335	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_155555835	CK_Syn_MINOS11_01731	5.3	5.3
MM.2017braw_162485777	CK_Syn_A15-62_00360	II	IIc
MM.2017braw_185837263	CK_Syn_RS9902_02899	II	IIa
MM.2017braw_186590495	CK_Syn_TAK9802_00117	II	IIa
MM.2017braw_199177308	CK_Syn_RCC307_01649	5.3	5.3
MM.2017braw_3706038	CK_Syn_PROS-U-1_01964	II	IIh
MM.2017braw_43351070	CK_Syn_RS9902_01343	II	IIa
MM.2017braw_52409079	CK_Syn_BL107_13895	IV	IVa
MM.2017braw_76107409	CK_Syn_CC9902_00702	IV	IVa
MM.2017braw_85706824	CK_Syn_PROS-U-1_03066	II	IIh
MM.2017braw_121838322	MO_Syn_PH41509_00676		
MM.2017braw_153186775	CK_Syn_MINOS11_00231	5.3	5.3
MM.2017braw_160197425	CK_Syn_CC9605_01578	II	IIc
MM.2017braw_180665578	CK_Syn_WH8103_02452	III	IIIa
MM.2017braw_197411939	CK_Syn_PROS-U-1_01964	II	IIh
MM.2017braw_102930247	CK_Syn_WH8103_02896	III	IIIa
MM.2017braw_103679194	CK_Syn_RS9907_01798	II	IIa
MM.2017braw_124758545	CK_Syn_TAK9802_01043	II	IIa
MM.2017braw_146440225	CK_Syn_CC9616_03269	EnvC	EnvC
MM.2017braw_188946535	CK_Syn_RS9902_00326	II	IIa
MM.2017braw_189077923	CK_Syn_A15-28_02785	III	IIIb
MM.2017braw_193224523	CK_Syn_A15-28_02135	III	IIIb
MM.2017braw_22837711	CK_Syn_RS9907_02211	II	IIa
MM.2017braw_63873479	CK_Syn_SYN20_00327	I	Ib
MM.2017braw_71942832	CK_Syn_PROS-U-1_00762	II	IIh
MM.2017braw_72601266	CK_Syn_TAK9802_01004	II	IIa
MM.2017braw_74469213	CK_Syn_PROS-9-1_01478	I	Ib
MM.2017braw_89800948	CK_Syn_CC9311_02920	I	Ia
MM.2017braw_107895901	CK_Syn_KORDI-49_01210	WPC1	WPC1
MM.2017braw_108042794	CK_Syn_MINOS11_00740	5.3	5.3
MM.2017braw_125062114	CK_Syn_WH8016_02008	I	Ib
MM.2017braw_26446789	CK_Syn_PROS-U-1_00191	II	IIh
MM.2017braw_50868026	CK_Syn_BL107_12275	IV	IVa
MM.2017braw_54963145	CK_Syn_KORDI-52_17020	II	IIa
MM.2017braw_79768023	CK_Syn_MITS9220_03010	CRD1	CRD1a
MM.2017braw_92199743	CK_Syn_BL107_08284	IV	IVa
MM.2017braw_107817914	CK_Syn_A15-62_00230	II	IIc
MM.2017braw_111329908	CK_Syn_KORDI-100_18710	UC-A	UC-A
MM.2017braw_119790881	CK_Syn_MINOS11_00231	5.3	5.3
MM.2017braw_134410179	CK_Syn_MINOS11_00231	5.3	5.3
MM.2017braw_142794020	CK_Syn_CC9605_01604	II	IIc
MM.2017braw_151838403	CK_Syn_RS9902_02897	II	IIa
MM.2017braw_178845405	MO_Syn_HBA1120_01962		
MM.2017braw_179583415	CK_Syn_RS9902_01343	II	IIa
MM.2017braw_183148909	CK_Syn_MEDNS5_00120	VI	VIa
MM.2017braw_183205021	CK_Syn_RS9907_00192	II	IIa
MM.2017braw_194746491	CK_Syn_KORDI-52_27020	II	IIa
MM.2017braw_199988020	CK_Syn_WH7803_00978	V	V
MM.2017braw_25036583	CK_Syn_WH8109_00330	II	IIa
MM.2017braw_63291027	CK_Syn_PROS-U-1_00419	II	IIh
MM.2017braw_83507055	CK_Syn_A15-62_02103	II	IIc
MM.2017braw_111340284	CK_Syn_WH8102_00971	III	IIIa
MM.2017braw_140528501	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_158360412	CK_Syn_KORDI-49_06830	WPC1	WPC1
MM.2017braw_159309505	CK_Syn_RS9916_36682	IX	IX
MM.2017braw_200046654	CK_Syn_A15-44_00114	II	IIa
MM.2017braw_32587465	CK_Syn_MINOS11_01747	5.3	5.3
MM.2017braw_39803053	CK_Syn_WH8020_00367	I	Ia
MM.2017braw_69612065	CK_Syn_RS9902_00946	II	IIa
MM.2017braw_87989752	CK_Syn_PROS-U-1_02396	II	IIh
MM.2017braw_109568430	CK_Syn_BIOS-E4-1_01371	CRD1	CRD1b
MM.2017braw_125384980	CK_Syn_RS9907_00111	II	IIa
MM.2017braw_173726841	CK_Syn_WH8103_00404	III	IIIa
MM.2017braw_42482568	CK_Syn_TAK9802_02630	II	IIa
MM.2017braw_59137910	CK_Syn_MINOS11_01763	5.3	5.3
MM.2017braw_63024536	CK_Syn_CC9616_02032	EnvC	EnvC
MM.2017braw_7105200	MO_Syn_PH41509_01790		
MM.2017braw_96662806	CK_Syn_SYN20_02640	I	Ib
MM.2017braw_116300100	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_126933189	CK_Syn_A15-62_01180	II	IIc
MM.2017braw_164425589	CK_Syn_BL107_07169	IV	IVa
MM.2017braw_187380966	CK_Syn_A15-127_01363	WPC1	WPC1
MM.2017braw_195728947	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_39767202	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_46969633	CK_Syn_RCC307_00664	5.3	5.3
MM.2017braw_87206838	CK_Syn_CC9902_01313	IV	IVa
MM.2017braw_9613971	CK_Syn_BIOS-E4-1_00172	CRD1	CRD1b
MM.2017braw_116417228	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_117330176	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_134555685	CK_Syn_MINOS11_01472	5.3	5.3
MM.2017braw_153527893	CK_Syn_A15-60_00181	VII	VIIa
MM.2017braw_173956934	CK_Syn_A15-44_00200	II	IIa
MM.2017braw_190879756	CK_Syn_A18-46.1_01356	III	IIIa
MM.2017braw_20411627	CK_Syn_A15-44_01310	II	IIa
MM.2017braw_72957351	CK_Syn_A15-62_02103	II	IIc
MM.2017braw_174664485	CK_Syn_KORDI-52_11190	II	IIa
MM.2017braw_176800747	CK_Syn_RS9907_02211	II	IIa
MM.2017braw_185315126	CK_Syn_A15-44_02245	II	IIa
MM.2017braw_186323753	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_19985957	CK_Syn_PROS-U-1_31128	II	IIh
MM.2017braw_29713656	CK_Syn_A15-62_01179	II	IIc
MM.2017braw_31715140	MO_Syn_PH41509_02126		
MM.2017braw_77812237	CK_Syn_MVIR-18-1_00303	I	Ib
MM.2017braw_93197302	CK_Syn_CC9902_00702	IV	IVa
MM.2017braw_135059595	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_151490215	CK_Syn_KORDI-49_06120	WPC1	WPC1
MM.2017braw_16722796	CK_Syn_KORDI-100_29890	UC-A	UC-A
MM.2017braw_61341694	CK_Syn_KORDI-52_14790	II	IIa
MM.2017braw_63486848	CK_Syn_RS9907_01570	II	IIa
MM.2017braw_70588090	CK_Syn_MINOS11_01459	5.3	5.3
MM.2017braw_103269014	CK_Syn_CC9605_00325	II	IIc
MM.2017braw_162024612	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_162291251	CK_Syn_TAK9802_01533	II	IIa
MM.2017braw_187986009	CK_Syn_A15-44_00200	II	IIa
MM.2017braw_21660616	CK_Syn_BMK-MC-1_02161	V	V
MM.2017braw_40027815	CK_Syn_A15-62_02103	II	IIc
MM.2017braw_46049706	CK_Syn_BL107_11911	IV	IVa
MM.2017braw_851584	CK_Syn_BOUM118_01063	III	IIIa
MM.2017braw_85410435	CK_Syn_M16.1_00127	II	IIa
MM.2017braw_119672280	CK_Syn_KORDI-52_11980	II	IIa
MM.2017braw_128580821	CK_Syn_CC9616_01766	EnvC	EnvC
MM.2017braw_131447836	CK_Syn_WH8020_00367	I	Ia
MM.2017braw_144720361	CK_Syn_MINOS11_01555	5.3	5.3
MM.2017braw_175799955	CK_Syn_WH8020_00145	I	Ia
MM.2017braw_192870776	CK_Syn_KORDI-49_03490	WPC1	WPC1
MM.2017braw_200539332	CK_Syn_A18-40_02824	III	IIIa
MM.2017braw_201183397	CK_Syn_A15-62_00230	II	IIc
MM.2017braw_40440750	CK_Syn_A15-62_00114	II	IIc
MM.2017braw_89087348	CK_Syn_WH8109_26319	II	IIa
MM.2017braw_98950393	CK_Syn_RCC307_02186	5.3	5.3
MM.2017braw_107128089	CK_Syn_RS9907_00310	II	IIa
MM.2017braw_109294288	CK_Syn_CC9902_01183	IV	IVa
MM.2017braw_138068676	CK_Syn_PROS-9-1_00405	I	Ib
MM.2017braw_141621431	CK_Syn_TAK9802_01392	II	IIa
MM.2017braw_144121630	CK_Syn_SYN20_02186	I	Ib
MM.2017braw_150408599	CK_Syn_WH7805_09844	VI	VIa
MM.2017braw_157383845	CK_Syn_CC9605_01604	II	IIc
MM.2017braw_170135755	CK_Syn_M16.1_00197	II	IIa
MM.2017braw_174816178	CK_Syn_A15-28_01245	III	IIIb
MM.2017braw_184638123	CK_Syn_PROS-U-1_31128	II	IIh
MM.2017braw_195050149	CK_Syn_WH8103_02869	III	IIIa
MM.2017braw_195567736	CK_Syn_KORDI-100_09650	UC-A	UC-A
MM.2017braw_57050422	CK_Syn_A15-127_01718	WPC1	WPC1
MM.2017braw_89290499	CK_Syn_WH8016_01875	I	Ib
MM.2017braw_107394224	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_108724407	CK_Syn_WH8109_01056	II	IIa
MM.2017braw_110149542	CK_Syn_RS9907_00111	II	IIa
MM.2017braw_11328737	CK_Syn_RS9916_28369	IX	IX
MM.2017braw_146838484	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_155815871	CK_Syn_A15-28_00741	III	IIIb
MM.2017braw_166270179	CK_Syn_KORDI-100_04640	UC-A	UC-A
MM.2017braw_180816393	CK_Syn_CC9605_02620	II	IIc
MM.2017braw_93640457	CK_Syn_A15-28_01357	III	IIIb
MM.2017braw_102220956	CK_Syn_NOUM97013_01490	VII	VIIb
MM.2017braw_112888152	CK_Syn_KORDI-52_03380	II	IIa
MM.2017braw_119507910	CK_Syn_M16.1_00315	II	IIa
MM.2017braw_123219703	CK_Syn_PROS-U-1_02396	II	IIh
MM.2017braw_124491753	CK_Syn_CC9902_00152	IV	IVa
MM.2017braw_16927679	CK_Syn_A15-127_01287	WPC1	WPC1
MM.2017braw_190706499	CK_Syn_WH8109_00201	II	IIa
MM.2017braw_192404629	CK_Syn_RS9902_00946	II	IIa
MM.2017braw_3455157	CK_Syn_M16.1_01353	II	IIa
MM.2017braw_56232962	CK_Syn_BL107_05464	IV	IVa
MM.2017braw_97569981	CK_Syn_PROS-9-1_01490	I	Ib
MM.2017braw_99940680	MO_Syn_PH41509_01790		
MM.2017braw_118843897	CK_Syn_PROS-U-1_01908	II	IIh
MM.2017braw_119029370	CK_Syn_CC9902_01761	IV	IVa
MM.2017braw_131693036	MO_Syn_PH41509_01988		
MM.2017braw_137768267	CK_Syn_A15-62_01661	II	IIc
MM.2017braw_146827590	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_172949988	CK_Syn_A15-28_01059	III	IIIb
MM.2017braw_180442688	CK_Syn_A15-28_01357	III	IIIb
MM.2017braw_187126781	CK_Syn_BIOS-E4-1_01371	CRD1	CRD1b
MM.2017braw_194411181	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_19859292	CK_Syn_WH8103_01313	III	IIIa
MM.2017braw_43819045	CK_Syn_RS9907_01655	II	IIa
MM.2017braw_52338039	CK_Syn_CC9311_01402	I	Ia
MM.2017braw_67673429	CK_Syn_PROS-9-1_00933	I	Ib
MM.2017braw_112194595	CK_Syn_KORDI-52_27470	II	IIa
MM.2017braw_124836320	CK_Syn_RS9902_01968	II	IIa
MM.2017braw_132488137	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_159870679	CK_Syn_TAK9802_00321	II	IIa
MM.2017braw_170320961	CK_Syn_CC9902_02214	IV	IVa
MM.2017braw_171847299	CK_Syn_WH8102_01018	III	IIIa
MM.2017braw_180137265	CK_Syn_RCC307_01634	5.3	5.3
MM.2017braw_31004236	CK_Syn_A15-62_00360	II	IIc
MM.2017braw_64364619	CK_Syn_BL107_12765	IV	IVa
MM.2017braw_80697771	MO_Syn_PH41509_01862		
MM.2017braw_89201112	CK_Syn_BL107_06034	IV	IVa
MM.2017braw_99330317	CK_Syn_RS9902_02897	II	IIa
MM.2017braw_119539098	CK_Syn_MINOS11_01763	5.3	5.3
MM.2017braw_141447163	CK_Syn_MINOS11_00740	5.3	5.3
MM.2017braw_1580631	CK_Syn_MEDNS5_00262	VI	VIa
MM.2017braw_162374745	CK_Syn_MINOS11_01555	5.3	5.3
MM.2017braw_167575669	CK_Syn_RS9907_01570	II	IIa
MM.2017braw_170224625	CK_Syn_WH7805_07351	VI	VIa
MM.2017braw_179021035	CK_Syn_M16.1_00197	II	IIa
MM.2017braw_194513974	CK_Syn_KORDI-52_14790	II	IIa
MM.2017braw_47673410	CK_Syn_TAK9802_01043	II	IIa
MM.2017braw_48373569	CK_Syn_A15-127_00593	WPC1	WPC1
MM.2017braw_58225128	CK_Syn_WH8109_00201	II	IIa
MM.2017braw_64058428	CK_Syn_CC9311_00247	I	Ia
MM.2017braw_77967036	CK_Syn_WH8103_02052	III	IIIa
MM.2017braw_110849975	CK_Syn_RCC307_01633	5.3	5.3
MM.2017braw_134403854	CK_Syn_A15-127_00368	WPC1	WPC1
MM.2017braw_138841389	CK_Syn_WH8102_01286	III	IIIa
MM.2017braw_144722120	CK_Syn_WH8016_01359	I	Ib
MM.2017braw_161395776	CK_Syn_BOUM118_01541	III	IIIa
MM.2017braw_175640069	CK_Syn_CC9311_02811	I	Ia
MM.2017braw_188673419	CK_Syn_RS9915_00804	III	IIIa
MM.2017braw_39100940	CK_Syn_RCC307_01634	5.3	5.3
MM.2017braw_46003775	CK_Syn_KORDI-49_01210	WPC1	WPC1
MM.2017braw_48990417	MO_Syn_HBP1109_00044		
MM.2017braw_71286251	CK_Syn_SYN20_03170	I	Ib
MM.2017braw_87302302	CK_Syn_CC9311_00939	I	Ia
MM.2017braw_95983623	CK_Syn_MINOS11_02644	5.3	5.3
MM.2017braw_128581517	CK_Syn_WH8103_00233	III	IIIa
MM.2017braw_149001185	CK_Syn_KORDI-100_29180	UC-A	UC-A
MM.2017braw_154631512	CK_Syn_WH8102_02507	III	IIIa
MM.2017braw_156044701	CK_Syn_KORDI-100_14450	UC-A	UC-A
MM.2017braw_162209794	CK_Syn_WH8103_02052	III	IIIa
MM.2017braw_173318719	MO_Syn_PH41509_02109		
MM.2017braw_181145749	CK_Syn_A15-24_00772	III	IIIa
MM.2017braw_48054818	CK_Syn_TAK9802_01270	II	IIa
MM.2017braw_72840503	CK_Syn_A15-44_01310	II	IIa
MM.2017braw_91362015	CK_Syn_CC9616_01447	EnvC	EnvC
MM.2017braw_100270599	CK_Syn_RS9907_00192	II	IIa
MM.2017braw_102373707	CK_Syn_KORDI-49_27020	WPC1	WPC1
MM.2017braw_128913797	CK_Syn_RS9916_37132	IX	IX
MM.2017braw_129307332	CK_Syn_A15-28_02058	III	IIIb
MM.2017braw_133369274	CK_Syn_BL107_05464	IV	IVa
MM.2017braw_139186847	CK_Syn_CC9616_02032	EnvC	EnvC
MM.2017braw_149333932	MO_Syn_PH41509_00676		
MM.2017braw_173034180	CK_Syn_KORDI-100_29890	UC-A	UC-A
MM.2017braw_174856429	CK_Syn_TAK9802_01043	II	IIa
MM.2017braw_195908814	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_198122810	CK_Syn_TAK9802_01004	II	IIa
MM.2017braw_22076096	CK_Syn_RCC307_01614	5.3	5.3
MM.2017braw_52083523	CK_Syn_TAK9802_01004	II	IIa
MM.2017braw_53424285	CK_Syn_BL107_06034	IV	IVa
MM.2017braw_68987130	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_95999363	CK_Syn_WH8103_01149	III	IIIa
MM.2017braw_128068194	CK_Syn_BL107_13895	IV	IVa
MM.2017braw_154169796	CK_Syn_PROS-U-1_31128	II	IIh
MM.2017braw_59322646	CK_Syn_KORDI-52_16820	II	IIa
MM.2017braw_64606799	CK_Syn_CC9902_02017	IV	IVa
MM.2017braw_67977808	CK_Syn_MVIR-18-1_00303	I	Ib
MM.2017braw_96226474	CK_Syn_WH7805_01487	VI	VIa
MM.2017braw_118412401	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_134871227	CK_Syn_PROS-9-1_01694	I	Ib
MM.2017braw_138496673	CK_Syn_WH8109_01056	II	IIa
MM.2017braw_146557066	CK_Syn_KORDI-49_05530	WPC1	WPC1
MM.2017braw_146559794	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_54002998	CK_Syn_SYN20_00327	I	Ib
MM.2017braw_60359665	CK_Syn_RS9907_00589	II	IIa
MM.2017braw_66102674	CK_Syn_PROS-9-1_01446	I	Ib
MM.2017braw_107522236	CK_Syn_CC9605_01604	II	IIc
MM.2017braw_118309486	CK_Syn_RS9907_01655	II	IIa
MM.2017braw_124521314	CK_Syn_A15-28_01245	III	IIIb
MM.2017braw_145927688	CK_Syn_RS9915_02489	III	IIIa
MM.2017braw_148939142	CK_Syn_RS9902_01466	II	IIa
MM.2017braw_177142544	MO_Syn_PH41509_01574		
MM.2017braw_178541481	CK_Syn_BIOS-E4-1_04320	CRD1	CRD1b
MM.2017braw_186413201	CK_Syn_RS9907_02211	II	IIa
MM.2017braw_196610610	CK_Syn_TAK9802_01997	II	IIa
MM.2017braw_199559143	CK_Syn_A15-44_00114	II	IIa
MM.2017braw_28327842	CK_Syn_RS9902_02517	II	IIa
MM.2017braw_70992210	CK_Syn_PROS-U-1_01767	II	IIh
MM.2017braw_74786509	CK_Syn_M16.1_01238	II	IIa
MM.2017braw_102274495	CK_Syn_KORDI-49_19440	WPC1	WPC1
MM.2017braw_10575025	CK_Syn_RS9902_01343	II	IIa
MM.2017braw_126954206	CK_Syn_WH7805_09534	VI	VIa
MM.2017braw_133971176	CK_Syn_M16.1_00584	II	IIa
MM.2017braw_136300600	CK_Syn_KORDI-100_09650	UC-A	UC-A
MM.2017braw_167927086	CK_Syn_PROS-U-1_01278	II	IIh
MM.2017braw_180026884	CK_Syn_MINOS11_00740	5.3	5.3
MM.2017braw_37447501	CK_Syn_A15-127_00593	WPC1	WPC1
MM.2017braw_41652638	CK_Syn_M16.1_00315	II	IIa
MM.2017braw_64923744	CK_Syn_BL107_08284	IV	IVa
MM.2017braw_65228857	CK_Syn_RCC307_01362	5.3	5.3
MM.2017braw_82568618	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_93594071	CK_Syn_M16.1_00584	II	IIa
MM.2017braw_99302709	CK_Syn_PROS-U-1_01964	II	IIh
MM.2017braw_117865605	CK_Syn_MINOS11_01763	5.3	5.3
MM.2017braw_121849161	CK_Syn_WH8103_01109	III	IIIa
MM.2017braw_131617592	CK_Syn_SYN20_01959	I	Ib
MM.2017braw_142596799	CK_Syn_KORDI-100_04450	UC-A	UC-A
MM.2017braw_160514657	CK_Syn_KORDI-100_03100	UC-A	UC-A
MM.2017braw_162384336	CK_Syn_RS9916_28769	IX	IX
MM.2017braw_179208790	CK_Syn_CC9311_00939	I	Ia
MM.2017braw_190638640	CK_Syn_PROS-9-1_00933	I	Ib
MM.2017braw_200171673	CK_Syn_RCC307_02186	5.3	5.3
MM.2017braw_30185574	CK_Syn_RS9902_00111	II	IIa
MM.2017braw_66121698	CK_Syn_BL107_05464	IV	IVa
MM.2017braw_74092796	CK_Syn_WH8103_02191	III	IIIa
MM.2017braw_78931430	CK_Syn_MVIR-18-1_00417	I	Ib
MM.2017braw_109751098	CK_Syn_WH8109_00330	II	IIa
MM.2017braw_135837079	CK_Syn_TAK9802_01270	II	IIa
MM.2017braw_16199909	CK_Syn_TAK9802_01043	II	IIa
MM.2017braw_171187066	CK_Syn_KORDI-100_18710	UC-A	UC-A
MM.2017braw_183490286	CK_Syn_A15-44_01590	II	IIa
MM.2017braw_193911831	CK_Syn_M16.1_00127	II	IIa
MM.2017braw_195561884	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_22904063	CK_Syn_RS9907_01655	II	IIa
MM.2017braw_43348938	CK_Syn_KORDI-52_03380	II	IIa
MM.2017braw_49224381	CK_Syn_A15-62_01180	II	IIc
MM.2017braw_49528797	CK_Syn_WH8109_01056	II	IIa
MM.2017braw_58114044	CK_Syn_RCC307_01634	5.3	5.3
MM.2017braw_59799331	CK_Syn_RCC307_01614	5.3	5.3
MM.2017braw_64850329	CK_Syn_CC9902_01761	IV	IVa
MM.2017braw_86491549	CK_Syn_A15-62_00114	II	IIc
MM.2017braw_101671751	CK_Syn_PROS-9-1_02841	I	Ib
MM.2017braw_103658058	CK_Syn_RS9907_00111	II	IIa
MM.2017braw_103678983	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_141923510	CK_Syn_SYN20_01959	I	Ib
MM.2017braw_153543730	CK_Syn_RS9916_37432	IX	IX
MM.2017braw_158502828	CK_Syn_RS9907_02211	II	IIa
MM.2017braw_171838141	CK_Syn_KORDI-100_13500	UC-A	UC-A
MM.2017braw_174164354	CK_Syn_WH8020_00223	I	Ia
MM.2017braw_186169815	CK_Syn_A15-28_00741	III	IIIb
MM.2017braw_197460181	CK_Syn_RS9902_00326	II	IIa
MM.2017braw_28417571	CK_Syn_RS9902_01466	II	IIa
MM.2017braw_61351500	CK_Syn_A15-127_00655	WPC1	WPC1
MM.2017braw_62984597	CK_Syn_BL107_08369	IV	IVa
MM.2017braw_79657196	CK_Syn_SYN20_03445	I	Ib
MM.2017braw_136073094	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_143652679	CK_Syn_MINOS11_01472	5.3	5.3
MM.2017braw_156775951	CK_Syn_RS9907_01120	II	IIa
MM.2017braw_179620627	CK_Syn_CC9902_02214	IV	IVa
MM.2017braw_193027470	CK_Syn_BL107_05464	IV	IVa
MM.2017braw_198601917	CK_Syn_CB0205_11466	5.2	5.2A
MM.2017braw_41681480	CK_Syn_WH8109_26319	II	IIa
MM.2017braw_51919577	MO_Syn_HBA1120_01962		
MM.2017braw_56495264	CK_Syn_CC9311_00634	I	Ia
MM.2017braw_108375500	CK_Syn_BL107_11911	IV	IVa
MM.2017braw_112690772	CK_Syn_RS9907_01655	II	IIa
MM.2017braw_115387417	CK_Syn_BL107_15555	IV	IVa
MM.2017braw_137557295	CK_Syn_WH8103_02052	III	IIIa
MM.2017braw_32544976	CK_Syn_PROS-U-1_00279	II	IIh
MM.2017braw_41260135	CK_Syn_RS9916_28769	IX	IX
MM.2017braw_71149436	CK_Syn_A15-44_00330	II	IIa
MM.2017braw_71346500	CK_Syn_BIOS-E4-1_01371	CRD1	CRD1b
MM.2017braw_71952553	CK_Syn_KORDI-52_11540	II	IIa
MM.2017braw_86453308	CK_Syn_MVIR-18-1_01592	I	Ib
MM.2017braw_86822109	CK_Syn_KORDI-52_26680	II	IIa
MM.2017braw_101366958	CK_Syn_CC9311_00114	I	Ia
MM.2017braw_115151357	CK_Syn_A15-62_01661	II	IIc
MM.2017braw_127096087	CK_Syn_BL107_05464	IV	IVa
MM.2017braw_127614647	CK_Syn_WH8020_00964	I	Ia
MM.2017braw_133500903	CK_Syn_KORDI-49_01210	WPC1	WPC1
MM.2017braw_136073982	CK_Syn_KORDI-100_07510	UC-A	UC-A
MM.2017braw_136284795	CK_Syn_KORDI-52_15860	II	IIa
MM.2017braw_141433634	CK_Syn_WH7803_01808	V	V
MM.2017braw_14822927	CK_Syn_CC9311_02631	I	Ia
MM.2017braw_154543415	CK_Syn_WH8103_01426	III	IIIa
MM.2017braw_154858504	CK_Syn_A15-62_02103	II	IIc
MM.2017braw_157207608	CK_Syn_A15-44_01137	II	IIa
MM.2017braw_162112666	CK_Syn_RS9902_00326	II	IIa
MM.2017braw_162515414	MO_Syn_PH41509_02108		
MM.2017braw_172782881	CK_Syn_KORDI-49_01210	WPC1	WPC1
MM.2017braw_184726593	CK_Syn_KORDI-100_04450	UC-A	UC-A
MM.2017braw_195210498	CK_Syn_RS9907_02211	II	IIa
MM.2017braw_20524980	CK_Syn_TAK9802_01392	II	IIa
MM.2017braw_22334545	CK_Syn_CC9616_01793	EnvC	EnvC
MM.2017braw_29135471	CK_Syn_RS9907_01253	II	IIa
MM.2017braw_40294785	CK_Syn_BIOS-E4-1_04320	CRD1	CRD1b
MM.2017braw_69505752	CK_Syn_A15-44_00114	II	IIa
MM.2017braw_72956778	CK_Syn_WH8109_02054	II	IIa
MM.2017braw_81867359	CK_Syn_RCC307_01634	5.3	5.3
MM.2017braw_9299995	CK_Syn_CC9616_03269	EnvC	EnvC
MM.2017braw_99214026	CK_Syn_CC9605_00208	II	IIc
MM.2017braw_99785634	CK_Syn_CC9605_00208	II	IIc
MM.2017braw_108871776	CK_Syn_RCC307_01374	5.3	5.3
MM.2017braw_109630664	CK_Syn_WH8109_00131	II	IIa
MM.2017braw_132471403	CK_Syn_PROS-9-1_00405	I	Ib
MM.2017braw_146609612	CK_Syn_PROS-U-1_00762	II	IIh
MM.2017braw_153815014	CK_Syn_WH8103_02052	III	IIIa
MM.2017braw_166666897	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_2426532	CK_Syn_RS9902_00199	II	IIa
